date,1. open,2. high,3. low,4. close,5. volume
2020-11-20 09:09:00,212.55,212.55,212.55,212.55,1230.0
2020-11-20 09:08:00,212.5,212.55,212.5,212.5,5367.0
2020-11-20 09:07:00,212.69,212.69,212.55,212.55,3954.0
2020-11-20 09:06:00,212.6335,212.69,212.627,212.69,943.0
2020-11-20 09:04:00,212.62,212.65,212.62,212.65,2102.0
2020-11-20 09:03:00,212.65,212.65,212.65,212.65,330.0
2020-11-20 09:01:00,212.62,212.63,212.62,212.62,1348.0
2020-11-20 08:59:00,212.62,212.62,212.62,212.62,244.0
2020-11-20 08:57:00,212.7,212.7,212.63,212.63,975.0
2020-11-20 08:56:00,212.7001,212.7001,212.7,212.7,988.0
2020-11-20 08:54:00,212.7,212.7,212.7,212.7,745.0
2020-11-20 08:52:00,212.7,212.72,212.7,212.7,1421.0
2020-11-20 08:51:00,212.66,212.66,212.66,212.66,424.0
2020-11-20 08:48:00,212.66,212.66,212.66,212.66,375.0
2020-11-20 08:47:00,212.66,212.66,212.66,212.66,103.0
2020-11-20 08:45:00,212.7,212.7,212.7,212.7,1619.0
2020-11-20 08:44:00,212.7,212.7,212.7,212.7,254.0
2020-11-20 08:33:00,212.62,212.62,212.62,212.62,540.0
2020-11-20 08:32:00,212.71,212.71,212.71,212.71,693.0
2020-11-20 08:31:00,212.8,212.8,212.8,212.8,5032.0
2020-11-20 08:28:00,212.8,212.8,212.7,212.7,6633.0
2020-11-20 08:26:00,212.7,212.7,212.7,212.7,414.0
2020-11-20 08:24:00,212.71,212.71,212.71,212.71,150.0
2020-11-20 08:22:00,212.75,212.75,212.74,212.74,641.0
2020-11-20 08:21:00,212.75,212.75,212.75,212.75,239.0
2020-11-20 08:13:00,212.79,212.79,212.7,212.7,512.0
2020-11-20 08:11:00,212.82,212.82,212.82,212.82,2895.0
2020-11-20 08:10:00,212.7998,212.82,212.7998,212.82,2363.0
2020-11-20 08:07:00,212.8,212.8,212.8,212.8,317.0
2020-11-20 08:04:00,212.8,212.8,212.8,212.8,244.0
2020-11-20 08:03:00,212.75,212.75,212.71,212.71,1293.0
2020-11-20 08:01:00,213.0,213.05,212.7498,212.76,14103.0
2020-11-20 08:00:00,212.79,212.79,212.79,212.79,103.0
2020-11-20 07:59:00,212.75,212.75,212.75,212.75,491.0
2020-11-20 07:56:00,212.7,212.7,212.7,212.7,722.0
2020-11-20 07:55:00,212.75,212.75,212.75,212.75,170.0
2020-11-20 07:54:00,212.79,212.8,212.73,212.73,504.0
2020-11-20 07:50:00,212.82,212.82,212.82,212.82,433.0
2020-11-20 07:46:00,212.9,212.9,212.9,212.9,270.0
2020-11-20 07:44:00,212.92,212.92,212.92,212.92,240.0
2020-11-20 07:43:00,212.98,212.98,212.98,212.98,107.0
2020-11-20 07:41:00,212.86,212.87,212.86,212.87,1812.0
2020-11-20 07:40:00,212.86,212.86,212.86,212.86,400.0
2020-11-20 07:39:00,212.96,212.96,212.87,212.87,1021.0
2020-11-20 07:38:00,212.93,212.93,212.93,212.93,581.0
2020-11-20 07:36:00,213.03,213.05,213.03,213.05,1404.0
2020-11-20 07:34:00,213.05,213.18,213.05,213.1,1234.0
2020-11-20 07:33:00,212.99,213.05,212.99,213.05,2026.0
2020-11-20 07:32:00,212.94,213.0,212.9,212.9,1868.0
2020-11-20 07:31:00,212.9,212.94,212.83,212.83,2824.0
2020-11-20 07:26:00,213.0,213.0,213.0,213.0,936.0
2020-11-20 07:25:00,213.01,213.01,213.01,213.01,400.0
2020-11-20 07:23:00,213.02,213.02,213.02,213.02,351.0
2020-11-20 07:22:00,213.0,213.0,213.0,213.0,156.0
2020-11-20 07:21:00,213.0,213.0,213.0,213.0,209.0
2020-11-20 07:16:00,212.95,213.07,212.95,213.07,882.0
2020-11-20 07:15:00,212.89,212.89,212.89,212.89,124.0
2020-11-20 07:08:00,212.9,212.9,212.9,212.9,2029.0
2020-11-20 07:04:00,212.97,213.0,212.96,213.0,7579.0
2020-11-20 07:03:00,212.8,212.8,212.8,212.8,1606.0
2020-11-20 07:02:00,212.88,212.92,212.88,212.91,1979.0
2020-11-20 07:01:00,213.04,213.04,212.7,212.89,2264.0
2020-11-20 07:00:00,213.2,213.2,213.18,213.18,350.0
2020-11-20 06:59:00,213.1,213.1,213.1,213.1,473.0
2020-11-20 06:46:00,212.94,212.94,212.94,212.94,178.0
2020-11-20 06:45:00,212.99,212.99,212.99,212.99,100.0
2020-11-20 06:24:00,212.98,213.0,212.98,213.0,768.0
2020-11-20 06:06:00,212.98,212.98,212.96,212.96,402.0
2020-11-20 05:56:00,212.98,212.98,212.98,212.98,500.0
2020-11-20 05:55:00,212.98,212.98,212.98,212.98,600.0
2020-11-20 05:52:00,212.98,212.98,212.98,212.98,928.0
2020-11-20 05:50:00,212.98,212.98,212.98,212.98,201.0
2020-11-20 05:49:00,212.96,212.96,212.96,212.96,455.0
2020-11-20 05:33:00,212.7,212.7,212.7,212.7,280.0
2020-11-20 05:13:00,212.7,212.7,212.7,212.7,357.0
2020-11-20 04:42:00,212.93,212.93,212.93,212.93,100.0
2020-11-20 04:29:00,212.93,212.93,212.93,212.93,211.0
2020-11-20 04:28:00,212.7,212.7,212.7,212.7,239.0
2020-11-20 04:27:00,212.71,212.71,212.71,212.71,200.0
2020-11-20 04:24:00,212.71,212.71,212.71,212.71,400.0
2020-11-20 04:23:00,212.71,212.71,212.71,212.71,1005.0
2020-11-20 04:20:00,212.7,212.7,212.7,212.7,798.0
2020-11-20 04:12:00,212.82,212.82,212.82,212.82,400.0
2020-11-20 04:10:00,212.7,212.7,212.7,212.7,120.0
2020-11-20 04:09:00,212.7,212.7,212.7,212.7,300.0
2020-11-20 04:04:00,212.7,212.7,212.7,212.7,100.0
2020-11-20 04:02:00,213.0,213.0,213.0,213.0,1301.0
2020-11-20 04:01:00,212.95,213.0,212.95,213.0,729.0
2020-11-19 19:59:00,211.85,211.85,211.85,211.85,279.0
2020-11-19 19:56:00,211.95,211.95,211.95,211.95,316.0
2020-11-19 19:54:00,211.95,211.95,211.95,211.95,215.0
2020-11-19 19:52:00,211.96,211.96,211.96,211.96,311.0
2020-11-19 19:48:00,212.0,212.0,212.0,212.0,215.0
2020-11-19 19:43:00,212.1,212.1,212.1,212.1,180.0
2020-11-19 19:42:00,212.14,212.14,212.1,212.1,244.0
2020-11-19 19:38:00,212.1,212.1,212.1,212.1,356.0
2020-11-19 19:36:00,212.07,212.15,211.96,212.12,3295.0
2020-11-19 19:35:00,211.75,211.75,211.65,211.65,500.0
2020-11-19 19:33:00,211.81,211.82,211.8,211.8,1000.0
2020-11-19 19:32:00,212.07,212.07,212.07,212.07,164.0
2020-11-19 19:31:00,211.9,211.9,211.85,211.85,1900.0
2020-11-19 19:30:00,211.9,211.9,211.9,211.9,100.0
2020-11-19 19:29:00,211.82,211.82,211.81,211.81,1001.0
2020-11-19 19:26:00,211.91,211.91,211.91,211.91,150.0
2020-11-19 19:23:00,212.0,212.1,212.0,212.1,626.0
2020-11-19 19:18:00,212.0,212.0,212.0,212.0,356.0
2020-11-19 19:17:00,212.0,212.0,212.0,212.0,700.0
2020-11-19 19:09:00,211.99,212.03,211.99,212.03,1104.0
2020-11-19 18:56:00,211.81,211.81,211.81,211.81,641.0
2020-11-19 18:41:00,211.75,211.75,211.75,211.75,338.0
2020-11-19 18:39:00,211.7,211.7,211.7,211.7,239.0
2020-11-19 18:37:00,211.8,211.8,211.8,211.8,267.0
2020-11-19 18:34:00,211.85,211.85,211.85,211.85,315.0
2020-11-19 18:33:00,211.9,211.9,211.9,211.9,605.0
2020-11-19 18:29:00,211.92,211.92,211.92,211.92,180.0
2020-11-19 18:28:00,211.92,211.92,211.92,211.92,200.0
2020-11-19 18:27:00,211.9,211.97,211.9,211.97,472.0
2020-11-19 18:26:00,211.9,211.9,211.9,211.9,309.0
2020-11-19 18:24:00,212.05,212.05,212.05,212.05,292.0
2020-11-19 18:23:00,211.9,212.05,211.9,212.05,1401.0
2020-11-19 18:22:00,211.9,211.9,211.9,211.9,280.0
2020-11-19 18:21:00,212.05,212.05,212.05,212.05,541.0
2020-11-19 18:20:00,211.92,211.92,211.9,211.9,993.0
2020-11-19 18:19:00,212.0,212.0,212.0,212.0,344.0
2020-11-19 18:16:00,212.0,212.0,212.0,212.0,589.0
2020-11-19 18:13:00,212.03,212.03,211.99,212.0,3160.0
2020-11-19 18:06:00,212.11,212.11,212.11,212.11,499.0
2020-11-19 18:05:00,212.0,212.0,212.0,212.0,535.0
2020-11-19 18:01:00,212.17,212.17,212.15,212.15,4887.0
2020-11-19 17:58:00,212.3,212.3,212.3,212.3,287.0
2020-11-19 17:51:00,212.3,212.3,212.3,212.3,132.0
2020-11-19 17:50:00,212.29,212.29,212.29,212.29,222.0
2020-11-19 17:43:00,212.2,212.2,212.2,212.2,188.0
2020-11-19 17:42:00,212.18,212.18,212.18,212.18,125.0
2020-11-19 17:37:00,212.15,212.15,212.15,212.15,224.0
2020-11-19 17:34:00,212.22,212.22,212.22,212.22,111.0
2020-11-19 17:29:00,212.22,212.22,212.22,212.22,140.0
2020-11-19 17:28:00,212.3,212.3,212.3,212.3,155.0
2020-11-19 17:18:00,212.3499,212.42,212.3499,212.42,32357.0
2020-11-19 17:15:00,212.35,212.35,212.35,212.35,190.0
2020-11-19 17:11:00,212.34,212.34,212.2,212.2,1135.0
